TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2019,10,4,23,18,4XX E HASTINGS ST,Strathcona,493068.1692,5458724.1138
Theft from Vehicle,2019,11,12,9,30,4XX E HASTINGS ST,Strathcona,493068.1692,5458724.1138
Theft from Vehicle,2019,1,6,0,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,2,6,19,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,3,9,9,29,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,4,22,22,30,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,4,29,18,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,5,21,12,59,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,1,0,30,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,19,18,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,24,5,8,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,24,20,30,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,24,22,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,26,23,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,6,30,10,55,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,7,14,17,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,7,28,12,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,8,2,2,11,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,8,4,5,50,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,8,18,17,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,9,3,17,30,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,10,3,9,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,10,20,18,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,10,21,13,45,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,12,3,20,0,4XX E HASTINGS ST,Strathcona,493071.0867,5458733.1747
Theft from Vehicle,2019,3,9,20,0,4XX E PENDER ST,Strathcona,493065.4797,5458615.6264
