TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,4,30,19,0,21XX WALL ST,Grandview-Woodland,495526.9283,5459307.5664
Theft from Vehicle,2018,2,4,14,0,21XX WILLIAM ST,Grandview-Woodland,495569.7881,5457899.0073
Theft from Vehicle,2018,9,4,18,0,22XX CAMBRIDGE ST,Grandview-Woodland,495731.3955,5459314.886
Theft from Vehicle,2018,6,29,1,0,22XX CHARLES ST,Grandview-Woodland,495682.6871,5457805.1809
Theft from Vehicle,2018,7,9,17,55,22XX COMMERCIAL DR,Grandview-Woodland,494920.4954,5456847.7091
Theft from Vehicle,2018,6,22,17,30,22XX DUNDAS ST,Grandview-Woodland,495661.9274,5459114.1459
Theft from Vehicle,2018,5,8,20,52,22XX DUNDAS ST,Grandview-Woodland,495680.9933,5459123.0641
Theft from Vehicle,2018,1,8,19,0,22XX E 6TH AVE,Grandview-Woodland,495634.6623,5456912.5155
Theft from Vehicle,2018,3,22,0,0,22XX E 6TH AVE,Grandview-Woodland,495634.6623,5456912.5155
Theft from Vehicle,2018,5,27,18,0,22XX E 6TH AVE,Grandview-Woodland,495724.6031,5456911.5511
Theft from Vehicle,2018,12,31,9,30,22XX E 7TH AVE,Grandview-Woodland,495631.5856,5456817.2984
Theft from Vehicle,2018,1,1,21,0,22XX E 7TH AVE,Grandview-Woodland,495706.5414,5456826.9085
Theft from Vehicle,2018,8,2,22,0,22XX E BROADWAY AVE,Grandview-Woodland,495647.8242,5456615.8807
Theft from Vehicle,2018,7,10,20,0,22XX E HASTINGS ST,Grandview-Woodland,495657.5559,5458710.4146
Theft from Vehicle,2018,11,20,17,0,22XX E PENDER ST,Grandview-Woodland,495656.4592,5458606.0203
Theft from Vehicle,2018,10,11,22,0,22XX E PENDER ST,Grandview-Woodland,495783.0976,5458614.9352
Theft from Vehicle,2018,8,8,19,0,22XX ETON ST,Grandview-Woodland,495713.5926,5459416.6562
Theft from Vehicle,2018,8,19,15,0,22XX ETON ST,Grandview-Woodland,495713.5926,5459416.6562
Theft from Vehicle,2018,9,6,6,20,22XX ETON ST,Grandview-Woodland,495746.228,5459426.0603
Theft from Vehicle,2018,1,23,12,0,22XX FERNDALE ST,Grandview-Woodland,495742.0545,5458540.5952
Theft from Vehicle,2018,5,15,22,0,22XX FERNDALE ST,Grandview-Woodland,495742.0545,5458540.5952
Theft from Vehicle,2018,5,8,19,15,22XX FRANKLIN ST,Grandview-Woodland,495657.9049,5458811.6678
Theft from Vehicle,2018,3,21,22,0,22XX FRANKLIN ST,Grandview-Woodland,495695.835,5458810.9456
Theft from Vehicle,2018,6,12,23,0,22XX FRANKLIN ST,Grandview-Woodland,495695.835,5458810.9456
Theft from Vehicle,2018,6,28,16,0,22XX FRANKLIN ST,Grandview-Woodland,495695.835,5458810.9456
Theft from Vehicle,2018,1,6,20,30,22XX GRANT ST,Grandview-Woodland,495645.0502,5457603.0453
Theft from Vehicle,2018,4,30,20,30,22XX GRANT ST,Grandview-Woodland,495645.0502,5457603.0453
Theft from Vehicle,2018,8,17,18,0,22XX GRANT ST,Grandview-Woodland,495645.0502,5457603.0453
Theft from Vehicle,2018,4,30,22,0,22XX GRANT ST,Grandview-Woodland,495666.8525,5457602.7655
Theft from Vehicle,2018,6,22,23,0,22XX LAKEWOOD DR,Grandview-Woodland,495494.824,5456880.7208
Theft from Vehicle,2018,4,30,18,0,22XX MCLEAN DR,Grandview-Woodland,494507.6529,5456884.9693
Theft from Vehicle,2018,2,28,18,0,22XX NAPIER ST,Grandview-Woodland,495649.3412,5458002.269
Theft from Vehicle,2018,9,11,0,0,22XX NAPIER ST,Grandview-Woodland,495649.3412,5458002.269
Theft from Vehicle,2018,5,16,19,0,22XX NAPIER ST,Grandview-Woodland,495770.1472,5457999.7792
Theft from Vehicle,2018,7,12,19,0,22XX OXFORD ST,Grandview-Woodland,495678.3566,5459214.9034
Theft from Vehicle,2018,9,5,20,0,22XX OXFORD ST,Grandview-Woodland,495730.2966,5459214.5631
Theft from Vehicle,2018,9,5,21,0,22XX OXFORD ST,Grandview-Woodland,495730.2966,5459214.5631
Theft from Vehicle,2018,10,12,23,40,22XX OXFORD ST,Grandview-Woodland,495763.1009,5459214.3483
Theft from Vehicle,2018,9,18,16,0,22XX PANDORA ST,Grandview-Woodland,495660.7676,5458914.2362
Theft from Vehicle,2018,12,1,23,0,22XX PARKER ST,Grandview-Woodland,495650.7202,5458096.4205
Theft from Vehicle,2018,11,24,7,30,22XX PARKER ST,Grandview-Woodland,495653.3724,5458096.4597
Theft from Vehicle,2018,9,10,16,0,22XX PARKER ST,Grandview-Woodland,495751.3673,5458107.0524
Theft from Vehicle,2018,4,23,16,0,22XX TRINITY ST,Grandview-Woodland,495766.1011,5459616.4791
Theft from Vehicle,2018,6,25,1,0,22XX TRINITY ST,Grandview-Woodland,495766.1011,5459616.4791
Theft from Vehicle,2018,3,24,22,30,22XX TURNER ST,Grandview-Woodland,495655.1918,5458481.5865
Theft from Vehicle,2018,5,12,23,0,22XX TURNER ST,Grandview-Woodland,495660.6339,5458490.7049
Theft from Vehicle,2018,4,12,21,0,22XX VENABLES ST,Grandview-Woodland,495652.0202,5458202.5416
Theft from Vehicle,2018,5,15,16,0,22XX WALL ST,Grandview-Woodland,495637.8302,5459537.1087
Theft from Vehicle,2018,1,27,12,47,22XX WILLIAM ST,Grandview-Woodland,495749.1315,5457905.8804
Theft from Vehicle,2018,9,3,19,30,23XX CAMBRIDGE ST,Grandview-Woodland,495803.3242,5459313.7186
Theft from Vehicle,2018,9,4,23,0,23XX CAMBRIDGE ST,Grandview-Woodland,495827.1589,5459313.7606
Theft from Vehicle,2018,11,8,0,0,23XX CAMBRIDGE ST,Grandview-Woodland,495827.1589,5459313.7606
Theft from Vehicle,2018,11,1,6,15,23XX CHARLES ST,Grandview-Woodland,495852.1708,5457795.1272
Theft from Vehicle,2018,2,21,18,0,23XX COMMERCIAL DR,Grandview-Woodland,494928.8516,5456795.1318
Theft from Vehicle,2018,3,15,16,30,23XX COMMERCIAL DR,Grandview-Woodland,494928.8516,5456795.1318
Theft from Vehicle,2018,5,9,21,0,23XX COMMERCIAL DR,Grandview-Woodland,494928.8516,5456795.1318
Theft from Vehicle,2018,10,6,23,0,23XX E 7TH AVE,Grandview-Woodland,495772.8183,5456818.1472
Theft from Vehicle,2018,8,25,22,57,23XX E GEORGIA ST,Grandview-Woodland,495853.6241,5458399.0313
Theft from Vehicle,2018,11,21,11,0,23XX E HASTINGS ST,Grandview-Woodland,495832.3572,5458719.0183
Theft from Vehicle,2018,2,2,17,0,23XX E HASTINGS ST,Grandview-Woodland,495841.3593,5458709.8462
Theft from Vehicle,2018,3,24,15,0,23XX E PENDER ST,Grandview-Woodland,495817.2658,5458614.9426
Theft from Vehicle,2018,4,26,22,0,23XX E PENDER ST,Grandview-Woodland,495817.2658,5458614.9426
Theft from Vehicle,2018,7,26,22,0,23XX FERNDALE ST,Grandview-Woodland,495844.1049,5458548.4823
Theft from Vehicle,2018,9,19,20,0,23XX GARDEN DR,Grandview-Woodland,495775.8375,5456820.9902
Theft from Vehicle,2018,8,1,17,0,23XX KITCHENER ST,Grandview-Woodland,495830.9075,5457695.2745
Theft from Vehicle,2018,3,21,15,0,23XX MCGILL ST,Grandview-Woodland,495878.3901,5459514.2402
Theft from Vehicle,2018,11,22,0,0,23XX MCGILL ST,Grandview-Woodland,495878.3901,5459514.2402
Theft from Vehicle,2018,3,13,22,0,23XX MCLEAN DR,Grandview-Woodland,494497.3474,5456765.0007
Theft from Vehicle,2018,1,3,0,0,23XX NAPIER ST,Grandview-Woodland,495793.161,5457999.2055
Theft from Vehicle,2018,3,14,22,40,23XX OXFORD ST,Grandview-Woodland,495826.6911,5459213.7272
Theft from Vehicle,2018,12,27,22,0,23XX OXFORD ST,Grandview-Woodland,495830.8499,5459222.8133
Theft from Vehicle,2018,1,31,19,0,23XX PARKER ST,Grandview-Woodland,495800.1569,5458108.8793
Theft from Vehicle,2018,3,10,23,0,23XX TRINITY ST,Grandview-Woodland,495806.6507,5459616.4353
Theft from Vehicle,2018,1,18,16,30,23XX TRINITY ST,Grandview-Woodland,495871.1591,5459623.9878
Theft from Vehicle,2018,4,6,0,0,23XX TURNER ST,Grandview-Woodland,495805.4684,5458480.8935
Theft from Vehicle,2018,7,22,20,0,23XX TURNER ST,Grandview-Woodland,495829.1782,5458489.9559
Theft from Vehicle,2018,3,18,21,30,23XX WALL ST,Grandview-Woodland,495695.6078,5459624.4599
Theft from Vehicle,2018,10,19,15,30,23XX WALL ST,Grandview-Woodland,495698.7318,5459628.5948
Theft from Vehicle,2018,2,28,22,0,23XX WALL ST,Grandview-Woodland,495776.0491,5459704.4999
Theft from Vehicle,2018,3,28,22,0,23XX WALL ST,Grandview-Woodland,495874.6354,5459773.0842
Theft from Vehicle,2018,1,28,1,45,23XX WOODLAND DR,Grandview-Woodland,494648.5491,5456806.4811
Theft from Vehicle,2018,5,30,16,30,23XX WOODLAND DR,Grandview-Woodland,494648.5491,5456806.4811
Theft from Vehicle,2018,5,22,14,30,2XX COMMERCIAL DR,Grandview-Woodland,494877.4824,5458853.6339
Theft from Vehicle,2018,5,1,0,0,2XX MCLEAN DR,Grandview-Woodland,494617.3902,5458887.6459
Theft from Vehicle,2018,11,25,16,0,2XX N TEMPLETON DR,Grandview-Woodland,495655.5669,5459345.5342
