TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2018,4,8,21,30,7XX JERVIS ST,West End,490720.8828,5459446.529
Theft from Vehicle,2018,1,14,20,0,7XX JERVIS ST,West End,490775.7909,5459490.5289
Theft from Vehicle,2018,12,2,14,1,7XX JERVIS ST,West End,490775.7909,5459490.5289
Theft from Vehicle,2018,10,6,0,0,7XX NICOLA ST,West End,490473.2674,5459568.327
Theft from Vehicle,2018,1,11,20,0,7XX NICOLA ST,West End,490592.1057,5459673.964
Theft from Vehicle,2018,10,8,13,45,7XX NICOLA ST,West End,490592.1057,5459673.964
Theft from Vehicle,2018,7,8,22,0,7XX THURLOW ST,West End,490937.9534,5459112.7056
Theft from Vehicle,2018,10,9,20,13,7XX THURLOW ST,West End,490951.8924,5459139.6271
Theft from Vehicle,2018,2,25,17,9,7XX THURLOW ST,West End,490965.7891,5459140.6108
Theft from Vehicle,2018,1,11,6,15,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,2,25,9,57,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,4,14,14,0,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,4,14,14,20,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,4,29,12,59,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,5,1,0,0,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,5,1,16,25,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,5,20,10,0,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,5,25,19,15,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,6,8,15,40,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,6,16,6,44,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,9,1,10,40,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,10,21,18,30,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,11,17,9,30,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,12,12,8,30,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,12,13,11,30,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,12,18,13,30,7XX THURLOW ST,West End,490968.9291,5459156.7066
Theft from Vehicle,2018,3,4,13,30,7XX THURLOW ST,West End,491047.3979,5459221.8989
Theft from Vehicle,2018,8,16,18,0,7XX THURLOW ST,West End,491047.3979,5459221.8989
Theft from Vehicle,2018,12,16,17,30,7XX THURLOW ST,West End,491047.3979,5459221.8989
Theft from Vehicle,2018,8,28,19,0,8XX BROUGHTON ST,West End,490403.1592,5459328.4058
Theft from Vehicle,2018,3,15,8,31,8XX BROUGHTON ST,West End,490420.6524,5459333.1012
Theft from Vehicle,2018,11,13,14,0,8XX BROUGHTON ST,West End,490489.5347,5459402.7363
Theft from Vehicle,2018,3,2,19,30,8XX BROUGHTON ST,West End,490552.3018,5459466.9122
Theft from Vehicle,2018,6,17,18,43,8XX BROUGHTON ST,West End,490552.3018,5459466.9122
Theft from Vehicle,2018,1,19,16,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,1,19,17,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,1,20,2,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,1,20,16,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,1,20,17,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,1,20,19,30,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,11,17,11,35,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,11,27,17,30,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,11,29,7,41,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,11,30,8,21,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,12,12,20,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,12,12,20,30,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,12,28,9,30,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,12,31,19,0,8XX BURRARD ST,West End,491011.453,5458904.2617
Theft from Vehicle,2018,11,5,15,30,8XX BURRARD ST,West End,491012.1029,5458904.9078
Theft from Vehicle,2018,11,28,14,0,8XX BUTE ST,West End,490636.7871,5459125.1321
Theft from Vehicle,2018,2,19,19,0,8XX BUTE ST,West End,490756.1837,5459238.2714
Theft from Vehicle,2018,1,12,8,30,8XX BUTE ST,West End,490769.0959,5459250.0944
Theft from Vehicle,2018,4,16,1,15,8XX BUTE ST,West End,490769.0959,5459250.0944
Theft from Vehicle,2018,9,15,19,40,8XX BUTE ST,West End,490769.0959,5459250.0944
Theft from Vehicle,2018,11,20,12,30,8XX BUTE ST,West End,490769.0959,5459250.0944
Theft from Vehicle,2018,12,11,19,0,8XX BUTE ST,West End,490769.0959,5459250.0944
Theft from Vehicle,2018,6,8,18,0,8XX CARDERO ST,West End,490359.1642,5459611.0523
Theft from Vehicle,2018,4,14,17,0,8XX CARDERO ST,West End,490362.1098,5459613.8716
Theft from Vehicle,2018,3,20,5,0,8XX CARDERO ST,West End,490382.7286,5459633.6065
Theft from Vehicle,2018,4,9,6,15,8XX CHILCO ST,West End,489900.6936,5460048.9787
Theft from Vehicle,2018,5,16,19,0,8XX CHILCO ST,West End,489941.5268,5460078.0411
Theft from Vehicle,2018,1,6,11,20,8XX DENMAN ST,West End,490057.9669,5459768.1651
Theft from Vehicle,2018,9,7,18,0,8XX DENMAN ST,West End,490074.481,5459785.5617
Theft from Vehicle,2018,6,12,9,30,8XX DENMAN ST,West End,490114.2847,5459839.1328
Theft from Vehicle,2018,1,26,20,18,8XX DENMAN ST,West End,490120.3208,5459845.2726
Theft from Vehicle,2018,4,2,15,30,8XX DENMAN ST,West End,490120.3208,5459845.2726
Theft from Vehicle,2018,9,3,18,0,8XX DENMAN ST,West End,490120.3208,5459845.2726
Theft from Vehicle,2018,2,5,17,0,8XX JERVIS ST,West End,490607.1377,5459329.4827
Theft from Vehicle,2018,11,17,18,0,8XX JERVIS ST,West End,490607.1377,5459329.4827
Theft from Vehicle,2018,3,27,0,0,8XX JERVIS ST,West End,490608.2467,5459329.6883
Theft from Vehicle,2018,10,3,15,0,8XX LAGOON DR,West End,489934.7103,5460080.3835
Theft from Vehicle,2018,4,7,13,28,8XX THURLOW ST,West End,490922.4897,5459097.196
Theft from Vehicle,2018,7,8,19,10,8XX THURLOW ST,West End,490922.4897,5459097.196
Theft from Vehicle,2018,1,11,19,0,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2018,1,12,22,0,9XX BROUGHTON ST,West End,490327.1907,5459236.165
Theft from Vehicle,2018,1,29,12,59,9XX BROUGHTON ST,West End,490327.1907,5459236.165
