TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2019,8,3,21,7,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2019,9,4,21,0,CAMBIE ST / W PENDER ST,Central Business District,491994.9503,5458762.165
Mischief,2019,11,7,7,15,CAMBIE ST / WATER ST,Central Business District,492085.8223,5459067.7429
Mischief,2019,11,11,6,55,CARRALL ST / E CORDOVA ST,Central Business District,492416.8336,5458858.1411
Mischief,2019,7,6,15,18,CARRALL ST / E CORDOVA ST,Central Business District,492416.8338,5458858.141
Mischief,2019,9,14,8,0,CARRALL ST / E CORDOVA ST,Central Business District,492416.8338,5458858.141
Mischief,2019,9,16,14,0,CARRALL ST / E CORDOVA ST,Central Business District,492416.8338,5458858.141
Mischief,2019,3,20,21,0,CARRALL ST / E HASTINGS ST,Central Business District,492412.3483,5458751.9869
Mischief,2019,4,12,6,0,CARRALL ST / E HASTINGS ST,Central Business District,492412.3483,5458751.9869
Mischief,2019,9,6,19,34,CARRALL ST / E HASTINGS ST,Central Business District,492412.3483,5458751.9869
Mischief,2019,11,12,10,30,CARRALL ST / E HASTINGS ST,Central Business District,492412.3483,5458751.9869
Mischief,2019,2,17,16,20,CARRALL ST / EXPO BLVD,Central Business District,492278.8098,5458371.1047
Mischief,2019,12,10,7,45,CARRALL ST / EXPO BLVD,Central Business District,492278.8098,5458371.1047
Mischief,2019,3,22,15,54,CARRALL ST / KEEFER ST,Central Business District,492401.9923,5458502.0813
Mischief,2019,11,6,19,45,CARRALL ST / PACIFIC BLVD,Central Business District,492257.6014,5458266.5578
Mischief,2019,8,4,13,28,CARRALL ST / W PENDER ST,Central Business District,492408.4365,5458642.8001
Mischief,2019,6,18,18,0,COLUMBIA ST / E CORDOVA ST,Central Business District,492565.3684,5458848.6441
Mischief,2019,7,6,23,45,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.434,5458743.6229
Mischief,2019,7,7,21,25,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.434,5458743.6229
Mischief,2019,9,2,15,46,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.434,5458743.6229
Mischief,2019,12,21,18,0,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.434,5458743.6229
Mischief,2019,2,4,16,30,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Mischief,2019,4,8,9,45,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Mischief,2019,7,8,0,50,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Mischief,2019,12,15,0,32,COLUMBIA ST / E PENDER ST,Central Business District,492561.8384,5458637.2021
Mischief,2019,6,4,14,0,COLUMBIA ST / KEEFER ST,Central Business District,492569.9919,5458508.4776
Mischief,2019,6,7,22,0,COLUMBIA ST / KEEFER ST,Central Business District,492569.9919,5458508.4776
Mischief,2019,7,23,18,9,COLUMBIA ST / KEEFER ST,Central Business District,492569.9919,5458508.4776
Mischief,2019,8,4,9,21,COLUMBIA ST / KEEFER ST,Central Business District,492569.9919,5458508.4776
